"","number","name","year","theme","themeGroup","subtheme","category","packagingType","availability","ageRange","minifigs","pieces","retailPrice","pp","collections.ownedBy","collections.wantedBy"
"81","10570","All-in-One Gift Set",2014,"Duplo","Pre-school",NA,"Normal","Bucket","Retail",1,0,30,17.99,0.599666666666667,415,60
"82","10571","All-in-One-Pink-Box-of-Fun",2014,"Duplo","Pre-school",NA,"Normal","Tub","Retail",1,1,65,29.99,0.461384615384615,320,44
"83","10572","All-in-One-Box-of-Fun",2014,"Duplo","Pre-school",NA,"Normal","Tub","Retail",1,1,65,29.23,0.449692307692308,731,60
"84","10573","Creative Animals",2014,"Duplo","Pre-school",NA,"Normal","Box","Retail",1,0,25,14.99,0.5996,748,57
"85","10574","Creative Ice Cream",2014,"Duplo","Pre-school",NA,"Normal","Box","Retail",1,0,24,14.99,0.624583333333333,784,146
"86","10575","Creative Building Cube",2014,"Duplo","Pre-school",NA,"Normal","Box","Retail",1,0,75,24.99,0.3332,170,48
"87","10576","Zoo Care",2014,"Duplo","Pre-school",NA,"Normal","Box","Retail",2,1,9,6.99,0.776666666666667,369,72
"88","10577","Big Royal Castle",2014,"Duplo","Pre-school",NA,"Normal","Box","Retail",2,4,135,59.99,0.44437037037037,348,149
"89","10579","Clubhouse Cafe",2014,"Duplo","Pre-school","Mickey Mouse Clubhouse","Normal","Box","Retail",1,0,16,14.99,0.936875,117,73
"90","10580","Deluxe Box of Fun",2014,"Duplo","Pre-school",NA,"Normal","Box","Retail",1,2,95,44.99,0.473578947368421,368,57
"91","10659","Vehicle Suitcase",2014,"Juniors","Junior",NA,"Normal","Plastic box","Retail",NA,2,146,21.99,0.150616438356164,7,7
"92","10665","Spider-Man: Spider-Car Pursuit",2014,"Juniors","Junior","Marvel Super Heroes","Normal","Box","Retail",4,2,55,12.99,0.236181818181818,3442,668
"93","10666","Digger",2014,"Juniors","Junior","City","Normal","Box","Retail",4,1,75,9.99,0.1332,1667,506
"94","10667","Construction",2014,"Juniors","Junior","City","Normal","Bucket","Retail",4,1,160,17.99,0.1124375,2401,400
"95","10668","The Princess Play Castle",2014,"Juniors","Junior","Fantasy","Normal","Bucket","Retail",4,1,150,17.99,0.119933333333333,1064,301
"96","10669","Turtle Lair",2014,"Juniors","Junior","Teenage Mutant Ninja Turtles","Normal","Box","Retail",4,2,107,19.99,0.186822429906542,1035,383
"97","10671","Fire Emergency",2014,"Juniors","Junior","City","Normal","Box","Retail - limited",4,2,123,19.99,0.162520325203252,1280,275
"98","10672","Batman: Defend the Batcave",2014,"Juniors","Junior","DC Comics Super Heroes","Normal","Box","Retail",4,3,150,32.99,0.219933333333333,3086,664
"99","10673","Race Car Rally",2014,"Juniors","Junior","City","Normal","Tub","Retail",4,2,350,29.99,0.0856857142857143,1415,264
"100","10674","Pony Farm",2014,"Juniors","Junior","Girl","Normal","Tub","Retail",4,1,306,29.99,0.0980065359477124,771,266
"101","10675","Police – The Big Escape",2014,"Juniors","Junior","City","Normal","Box","Retail",4,3,146,29.99,0.20541095890411,1016,299
"102","10676","Knights' Castle",2014,"Juniors","Junior","Fantasy","Normal","Tub","Retail",4,4,480,44.99,0.0937291666666667,673,425
"103","10681","Creative Building Cube",2014,"Bricks and More","Basic",NA,"Normal","Box","Retail",4,0,600,24.99,0.04165,958,300
"104","10682","Creative Suitcase",2014,"Bricks and More","Basic",NA,"Normal","Box","Retail",4,0,1000,39.99,0.03999,675,269
"105","4962","Baby Zoo",2014,"Duplo","Pre-school","Zoo","Normal","Box","{Not specified}",NA,1,18,12.99,0.721666666666667,183,33
"106","10246","Detective's Office",2015,"Creator Expert","Model making","Modular Buildings Collection","Normal","Box","LEGO exclusive",16,6,2262,149.99,0.0663085764809903,24957,8721
"107","10247","Ferris Wheel",2015,"Creator Expert","Model making","Fairground Collection","Normal","Box","LEGO exclusive",16,10,2464,179.99,0.0730478896103896,12404,5258
"108","10248","Ferrari F40",2015,"Creator Expert","Model making","Vehicles","Normal","Box","LEGO exclusive",14,0,1158,89.99,0.0777115716753022,10151,3907
"109","10249","Winter Toy Shop",2015,"Creator Expert","Model making","Winter Village Collection","Normal","Box","LEGO exclusive",12,8,898,69.99,0.0779398663697105,12337,4369
"110","10581","Forest: Ducks",2015,"Duplo","Pre-school","Forest Animals","Normal","Box","Retail",2,1,13,9.99,0.768461538461539,710,162
"111","10582","Forest: Animals",2015,"Duplo","Pre-school","Forest Animals","Normal","Box","Retail",2,2,39,19.99,0.512564102564103,465,142
"112","10583","Forest: Fishing Trip",2015,"Duplo","Pre-school","Forest Animals","Normal","Box","Retail",2,2,32,24.99,0.7809375,404,163
"113","10584","Forest: Park",2015,"Duplo","Pre-school","Forest Animals","Normal","Box","Retail",2,3,105,59.99,0.571333333333333,659,225
"114","10585","Mom and Baby",2015,"Duplo","Pre-school",NA,"Normal","Box","Retail",2,2,13,9.99,0.768461538461539,367,92
"115","10586","Ice Cream Truck",2015,"Duplo","Pre-school",NA,"Normal","Box","Retail",2,2,11,14.99,1.36272727272727,359,79
"116","10587","Café",2015,"Duplo","Pre-school",NA,"Normal","Box","Retail",2,3,52,19.99,0.384423076923077,374,81
"117","10589","Rally Car",2015,"Duplo","Pre-school",NA,"Normal","Box","Retail",2,1,13,14.99,1.15307692307692,386,55
"118","10590","Airport",2015,"Duplo","Pre-school",NA,"Normal","Box","Retail",2,3,29,19.99,0.689310344827586,1143,91
"119","10591","Fire Boat",2015,"Duplo","Pre-school","Fire","Normal","Box","Retail",2,1,19,14.99,0.788947368421053,412,70
"120","10592","Fire Truck",2015,"Duplo","Pre-school","Fire","Normal","Box","Retail",2,1,26,24.99,0.961153846153846,862,97
"121","10593","Fire Station",2015,"Duplo","Pre-school","Fire","Normal","Box","Retail",2,2,105,59.99,0.571333333333333,301,104
"122","10594","Sofia's Royal Stable",2015,"Duplo","Pre-school","Sofia the First","Normal","Box","Retail",2,1,38,24.99,0.657631578947368,255,82
"123","10595","Sofia's Royal Castle",2015,"Duplo","Pre-school","Sofia the First","Normal","Box","Retail",2,2,87,49.99,0.574597701149425,253,100
"124","10596","Disney Princess Collection",2015,"Duplo","Pre-school","Disney Princess","Normal","Box","Retail",2,3,63,39.99,0.634761904761905,235,115
"125","10597","Birthday Parade",2015,"Duplo","Pre-school","Mickey Mouse Clubhouse","Normal","Box","Retail",2,2,24,24.36,1.015,1051,107
"126","10599","Batman Adventure",2015,"Duplo","Pre-school","Batman","Normal","Box","Retail",2,3,47,39.99,0.850851063829787,308,156
"127","10600","Classic Race",2015,"Duplo","Pre-school","Cars","Normal","Box","Retail",2,2,29,24.99,0.861724137931034,434,103
"128","10601","Delivery Vehicle",2015,"Duplo","Pre-school",NA,"Normal","Box","Retail",2,1,19,19.99,1.05210526315789,287,85
"129","10602","Camping",2015,"Duplo","Pre-school",NA,"Normal","Box","Retail",2,3,38,29.99,0.789210526315789,210,100
"130","10603","My First Bus",2015,"Duplo","Pre-school",NA,"Normal","Box","Retail",1,1,17,14.99,0.881764705882353,316,45
"131","10604","Treasure Island",2015,"Duplo","Pre-school","Jake and the Never Land Pirates","Normal","Box","Retail",2,2,25,19.99,0.7996,202,80
"132","10605","Rosie the Ambulance",2015,"Duplo","Pre-school","Doc McStuffins","Normal","Box","Retail",2,1,16,19.99,1.249375,230,64
"133","10606","Backyard Clinic",2015,"Duplo","Pre-school","Doc McStuffins","Normal","Box","Retail",2,1,39,34.99,0.897179487179487,358,79
"134","10607","Spider-Man Web-Bike Workshop",2015,"Duplo","Pre-school","Spider-Man","Normal","Box","Retail",2,1,13,14.99,1.15307692307692,415,113
"135","10608","Spider-Man Spider Truck Adventure",2015,"Duplo","Pre-school","Spider-Man","Normal","Box","Retail",2,2,28,29.99,1.07107142857143,292,115
"136","10615","My First Tractor",2015,"Duplo","Pre-school",NA,"Normal","Box","Retail",1,2,12,14.99,1.24916666666667,659,64
"137","10616","My First Playhouse",2015,"Duplo","Pre-school",NA,"Normal","Box","Retail",1,2,25,19.99,0.7996,549,71
"138","10617","My First Farm",2015,"Duplo","Pre-school",NA,"Normal","Box","Retail",1,2,26,19.99,0.768846153846154,745,73
"139","10618","Creative Building Box",2015,"Duplo","Pre-school",NA,"Normal","Box","Retail",1,2,70,24.99,0.357,214,46
"140","10622","Large Creative Box",2015,"Duplo","Pre-school",NA,"Normal","Box","Retail",2,2,193,59.99,0.310829015544041,184,42
"141","10623","DUPLO Basic Bricks – Large",2015,"Duplo","Pre-school",NA,"Normal","Box","Retail",NA,0,60,16.99,0.283166666666667,74,36
"142","10677","Beach Trip",2015,"Juniors","Junior","Girl","Normal","Box","Retail",4,1,74,9.99,0.135,1033,315
"143","10679","Pirate Treasure Hunt",2015,"Juniors","Junior","Fantasy","Normal","Box","Retail",4,2,57,9.99,0.175263157894737,2141,578
"144","10680","Garbage Truck",2015,"Juniors","Junior","City","Normal","Box","Retail",4,2,99,19.99,0.201919191919192,1317,450
"145","10683","Road Work Truck",2015,"Juniors","Junior","City","Normal","Box","Retail",4,2,132,19.99,0.151439393939394,1215,399
"146","10684","Supermarket Suitcase",2015,"Juniors","Junior","Girl","Normal","Other","Retail",4,2,134,24.99,0.186492537313433,1107,471
"147","10685","Fire Suitcase",2015,"Juniors","Junior","City","Normal","Other","Retail",4,2,113,24.99,0.221150442477876,1225,282
"148","10686","Family House",2015,"Juniors","Junior","Girl","Normal","Box","Retail",4,3,226,34.99,0.154823008849558,856,314
"149","10687","Spider-Man Hideout",2015,"Juniors","Junior","Marvel Super Heroes","Normal","Box","Retail",4,3,137,34.99,0.255401459854015,1689,567
"150","10692","Creative Bricks",2015,"Classic","Basic","Creative Building","Normal","Plastic box","Retail",4,0,221,14.99,0.0678280542986425,4166,321
"151","10693","Creative Supplement",2015,"Classic","Basic","Creative Building","Normal","Box","Retail",4,0,303,19.99,0.065973597359736,3320,311
"152","10694","Creative Supplement Bright",2015,"Classic","Basic","Creative Building","Normal","Box","Retail",4,0,303,19.99,0.065973597359736,1736,338
"153","10695","Creative Building Box",2015,"Classic","Basic","Creative Building","Normal","Box","Retail",4,0,580,24.99,0.0430862068965517,1704,347
"154","10696","Medium Creative Brick Box",2015,"Classic","Basic","Creative Box","Normal","Tub","Retail",4,0,484,29.99,0.0619628099173554,5947,396
"155","10697","XXXL Box",2015,"Classic","Basic","Miscellaneous","Normal","Box with handle","Retail - limited",4,0,1500,59.99,0.0399933333333333,2255,470
"156","10698","Large Creative Brick Box",2015,"Classic","Basic","Creative Box","Normal","Tub","Retail",4,0,790,49.99,0.0632784810126582,5075,447
"157","10699","32x32 Sand Baseplate",2015,"Classic","Basic","Baseplates","Normal","Shrink-wrapped","Retail",4,0,1,7.99,7.99,5078,893
"158","10700","32x32 Green Baseplate",2015,"Classic","Basic","Baseplates","Normal","Shrink-wrapped","Retail",4,0,1,8.99,8.99,8051,705
"159","10701","48x48 Grey Baseplate",2015,"Classic","Basic","Baseplates","Normal","Shrink-wrapped","Retail",4,0,1,14.99,14.99,7383,782
"160","11908","Friends: Build your own Adventure parts",2015,"Friends","Modern day","Book Parts","Normal","Polybag","Retail - limited",NA,1,77,10.55,0.137012987012987,186,210
"161","11909","Ninjago: Build your own Adventure parts",2015,"Ninjago","Action/Adventure","Book Parts","Normal","Polybag","Retail - limited",NA,1,74,10.55,0.142567567567568,641,317
"162","11910","Micro-Scale Space Cruiser",2015,"Space","Action/Adventure","Classic","Normal","Polybag","Retail",7,0,102,11.43,0.112058823529412,1670,799
"163","10251","Brick Bank",2016,"Creator Expert","Model making","Modular Buildings Collection","Normal","Box","LEGO exclusive",16,5,2380,149.99,0.0630210084033613,20993,8546
"164","10252","Volkswagen Beetle",2016,"Creator Expert","Model making","Vehicles","Normal","Box","LEGO exclusive",16,0,1167,87.72,0.0751670951156812,15977,3770
"165","10253","Big Ben",2016,"Creator Expert","Model making","Landmarks","Normal","Box","LEGO exclusive",16,0,4163,219.99,0.0528441028104732,6947,4297
"166","10254","Winter Holiday Train",2016,"Creator Expert","Model making","Winter Village Collection","Normal","Box","LEGO exclusive",12,5,734,89.99,0.122602179836512,17284,3578
"167","10654","XL Creative Brick Box",2016,"Classic","Basic","Creative Box","Normal","Box","Retail - limited",4,0,1600,59.99,0.03749375,900,316
"168","10702","Creative Building Set",2016,"Classic","Basic","Creative Building","Normal","Box","Retail",4,0,583,24.99,0.0428644939965695,1670,364
"169","10705","Creative Building Basket",2016,"Classic","Basic","Creative Building","Normal","Box","Retail",4,0,1000,39.99,0.03999,616,317
"170","10720","Police Helicopter Chase",2016,"Juniors","Junior","City","Normal","Box","Retail",4,2,63,9.99,0.158571428571429,1516,271
"171","10721","Iron Man vs. Loki",2016,"Juniors","Junior","Marvel Super Heroes","Normal","Box","Retail",4,2,66,12.99,0.196818181818182,2742,693
"172","10722","Snake Showdown",2016,"Juniors","Junior","Ninjago","Normal","Box","Retail",4,2,92,14.99,0.162934782608696,1128,278
"173","10723","Ariel's Dolphin Carriage",2016,"Juniors","Junior","Disney Princess","Normal","Box","Retail",4,1,70,14.99,0.214142857142857,1205,299
"174","10724","Batman & Superman vs. Lex Luthor",2016,"Juniors","Junior","DC Comics Super Heroes","Normal","Box","Retail",4,3,164,19.99,0.121890243902439,2343,559
"175","10725","Lost Temple",2016,"Juniors","Junior","Ninjago","Normal","Box","Retail",4,3,172,34.99,0.20343023255814,760,338
"176","10726","Stephanie's Horse Carriage",2016,"Juniors","Junior","Friends","Normal","Box","Retail",4,1,58,9.99,0.172241379310345,715,176
"177","10727","Emma's Ice Cream Truck",2016,"Juniors","Junior","Friends","Normal","Box","Retail",4,2,136,19.99,0.146985294117647,911,312
"178","10728","Mia's Vet Clinic",2016,"Juniors","Junior","Friends","Normal","Box","Retail",4,2,173,29.99,0.173352601156069,624,231
"179","10729","Cinderella's Carriage",2016,"Juniors","Junior","Disney Princess","Normal","Box","Retail",4,2,116,24.99,0.215431034482759,989,310
"180","10801","Baby Animals",2016,"Duplo","Pre-school",NA,"Normal","Box","Retail",2,0,13,9.99,0.768461538461539,893,111
"181","10802","Savanna",2016,"Duplo","Pre-school",NA,"Normal","Box","Retail",2,1,18,19.99,1.11055555555556,351,124
"182","10803","Arctic",2016,"Duplo","Pre-school",NA,"Normal","Box","Retail",2,2,40,29.99,0.74975,884,222
"183","10804","Jungle",2016,"Duplo","Pre-school",NA,"Normal","Box","Retail",2,2,86,59.99,0.697558139534884,391,165
"184","10805","Around the World",2016,"Duplo","Pre-school",NA,"Normal","Box","Retail",2,5,163,99.99,0.613435582822086,710,212
"185","10806","Horses",2016,"Duplo","Pre-school",NA,"Normal","Box","Retail",2,1,20,14.99,0.7495,188,86
"186","10807","Horse Trailer",2016,"Duplo","Pre-school",NA,"Normal","Box","Retail",2,2,15,19.99,1.33266666666667,237,93
"187","10808","Little Plane",2016,"Duplo","Pre-school",NA,"Normal","Box","Retail",2,1,13,9.99,0.768461538461539,680,64
"188","10809","Police Patrol",2016,"Duplo","Pre-school",NA,"Normal","Box","Retail",2,2,15,14.99,0.999333333333333,515,72
"189","10810","Push Train",2016,"Duplo","Pre-school","Trains","Normal","Box","Retail",2,2,45,29.99,0.666444444444444,633,86
"190","10811","Backhoe Loader",2016,"Duplo","Pre-school","Construction","Normal","Box","Retail",2,1,19,14.99,0.788947368421053,659,98
"191","10812","Truck & Tracked Excavator",2016,"Duplo","Pre-school","Construction","Normal","Box","Retail",2,2,28,19.49,0.696071428571429,1465,86
"192","10813","Big Construction Site",2016,"Duplo","Pre-school","Construction","Normal","Box","Retail",2,3,67,49.99,0.746119402985075,557,117
"193","10814","Tow Truck",2016,"Duplo","Pre-school",NA,"Normal","Box","Retail",2,2,28,19.99,0.713928571428571,227,76
"194","10815","My First Rocket",2016,"Duplo","Pre-school",NA,"Normal","Box","Retail",1,0,18,9.99,0.555,406,53
"195","10816","My First Cars and Trucks",2016,"Duplo","Pre-school",NA,"Normal","Box","Retail",1,0,36,19.99,0.555277777777778,715,52
"196","10817","Creative Chest",2016,"Duplo","Pre-school",NA,"Normal","Box","Retail",1,0,70,24.99,0.357,176,46
"197","10818","My First Truck",2016,"Duplo","Pre-school",NA,"Normal","Box","Retail",1,2,29,19.99,0.689310344827586,610,77
